qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
5002,861,811,3,19,13,1:38.437,1:37.841,\N
5003,861,814,10,11,14,1:38.325,1:37.877,\N
5004,861,817,5,16,15,1:38.419,1:37.883,\N
5005,861,807,10,12,16,1:38.303,1:37.890,\N
5006,861,155,15,14,17,1:38.372,1:38.069,\N
5007,861,818,5,17,18,1:39.077,\N,\N
5008,861,5,207,20,19,1:39.306,\N,\N
5009,861,808,207,21,20,1:39.567,\N,\N
5010,861,10,206,24,21,1:40.903,\N,\N
5011,861,819,206,25,22,1:41.250,\N,\N
5012,861,37,164,22,23,1:42.914,\N,\N
5013,861,39,164,23,24,1:43.655,\N,\N
5014,862,3,131,8,1,1:36.875,1:35.725,1:35.121
5015,862,1,1,4,2,1:36.763,1:35.902,1:35.626
5016,862,30,131,7,3,1:36.797,1:35.794,1:35.691
5017,862,155,15,14,4,1:36.863,1:35.853,1:35.784
5018,862,8,208,9,5,1:36.850,1:35.921,1:35.898
5019,862,18,1,3,6,1:36.746,1:35.942,1:36.191
5020,862,17,9,2,7,1:36.682,1:35.700,1:36.290
5021,862,815,15,15,8,1:36.198,1:35.831,1:36.524
5022,862,4,6,5,9,1:36.292,1:35.982,1:36.622
5023,862,154,208,10,10,1:36.343,1:35.903,\N
5024,862,20,9,1,11,1:36.911,1:36.031,\N
5025,862,13,6,6,12,1:36.556,1:36.255,\N
5026,862,813,3,18,13,1:36.528,1:36.283,\N
5027,862,811,3,19,14,1:36.674,1:36.289,\N
5028,862,814,10,11,15,1:36.639,1:36.317,\N
5029,862,807,10,12,16,1:36.921,1:36.745,\N
5030,862,817,5,16,17,1:36.933,1:36.956,\N
5031,862,818,5,17,18,1:37.714,\N,\N
5032,862,5,207,20,19,1:38.463,\N,\N
5033,862,808,207,21,20,1:38.677,\N,\N
5034,862,10,206,24,21,1:39.282,\N,\N
5035,862,819,206,25,22,1:39.717,\N,\N
5036,862,37,164,22,23,1:40.411,\N,\N
5037,862,39,164,23,24,1:41.000,\N,\N
5038,863,20,9,1,1,1:34.308,1:33.527,1:32.422
5039,863,1,1,4,2,1:34.813,1:33.209,1:32.520
5040,863,17,9,2,3,1:34.015,1:33.311,1:32.637
5041,863,18,1,3,4,1:34.792,1:33.416,1:32.711
5042,863,3,131,8,5,1:34.588,1:33.219,1:32.821
5043,863,817,5,16,6,1:33.988,1:33.556,1:32.912
5044,863,154,208,10,7,1:34.041,1:33.246,1:33.008
5045,863,815,15,15,8,1:33.814,1:33.660,1:33.394
5046,863,4,6,5,9,1:34.760,1:33.403,\N
5047,863,814,10,11,10,1:36.624,1:33.510,\N
5048,863,8,208,9,11,1:34.552,1:33.789,\N
5049,863,155,15,14,12,1:34.131,1:33.806,\N
5050,863,807,10,12,13,1:34.601,1:33.807,\N
5051,863,13,6,6,14,1:34.372,1:33.912,\N
5052,863,811,3,19,15,1:34.466,1:34.017,\N
5053,863,5,207,20,16,1:34.852,1:36.132,\N
5054,863,813,3,18,17,1:34.639,\N,\N
5055,863,30,131,7,18,1:34.865,\N,\N
5056,863,818,5,17,19,1:35.014,\N,\N
5057,863,808,207,21,20,1:35.823,\N,\N
5058,863,819,206,25,21,1:37.683,\N,\N
5059,863,37,164,22,22,1:37.883,\N,\N
5060,863,10,206,24,23,1:37.905,\N,\N
5061,863,39,164,23,24,1:38.314,\N,\N
5062,864,1,1,4,1,1:22.583,1:22.465,1:21.707
5063,864,813,3,18,2,1:23.380,1:22.105,1:22.285
5064,864,4,6,5,3,1:23.276,1:22.862,1:22.302
5065,864,154,208,10,4,1:23.248,1:22.667,1:22.424
5066,864,8,208,9,5,1:23.406,1:22.856,1:22.487
5067,864,815,15,15,6,1:24.261,1:22.773,1:22.533
5068,864,3,131,8,7,1:23.370,1:22.882,1:23.005
5069,864,20,9,1,8,1:23.850,1:22.884,\N
5070,864,30,131,7,9,1:23.757,1:22.904,\N
5071,864,155,15,14,10,1:23.386,1:22.897,\N
5072,864,18,1,3,11,1:23.510,1:22.944,\N
5073,864,17,9,2,12,1:23.592,1:22.977,\N
5074,864,814,10,11,13,1:23.852,1:23.125,\N
5075,864,807,10,12,14,1:23.720,1:23.177,\N
5076,864,818,5,17,15,1:24.362,1:23.265,\N
5077,864,817,5,16,16,1:23.906,1:23.442,\N
5078,864,13,6,6,17,1:23.886,1:23.444,\N
5079,864,811,3,19,18,1:24.981,\N,\N
5080,864,808,207,21,19,1:25.277,\N,\N
5081,864,5,207,20,20,1:25.507,\N,\N
5082,864,819,206,25,21,1:26.582,\N,\N
5083,864,10,206,24,22,1:27.032,\N,\N
5084,864,37,164,22,23,1:27.555,\N,\N
5085,864,39,164,23,24,1:31.122,\N,\N
5086,865,30,131,7,1,1:15.873,1:15.062,1:14.301
5087,865,17,9,2,2,1:16.013,1:15.035,1:14.381
5088,865,3,131,8,3,1:15.900,1:15.022,1:14.448
5089,865,1,1,4,4,1:16.063,1:15.166,1:14.583
5090,865,154,208,10,5,1:15.718,1:15.219,1:14.639
5091,865,4,6,5,6,1:16.153,1:15.128,1:14.948
5092,865,13,6,6,7,1:15.983,1:14.911,1:15.049
5093,865,8,208,9,8,1:15.889,1:15.322,1:15.199
5094,865,813,3,18,9,1:16.017,1:15.026,1:15.245
5095,865,20,9,1,10,1:15.757,1:15.234,\N
5096,865,807,10,12,11,1:15.418,1:15.421,\N
5097,865,155,15,14,12,1:15.648,1:15.508,\N
5098,865,18,1,3,13,1:16.399,1:15.536,\N
5099,865,811,3,19,14,1:15.923,1:15.709,\N
5100,865,814,10,11,15,1:16.062,1:15.718,\N
5101,865,817,5,16,16,1:16.360,1:15.878,\N
5102,865,818,5,17,17,1:16.491,1:16.885,\N
5103,865,5,207,20,18,1:16.538,\N,\N
5104,865,808,207,21,19,1:17.404,\N,\N
5105,865,10,206,24,20,1:17.947,\N,\N
5106,865,37,164,22,21,1:18.096,\N,\N
5107,865,819,206,25,22,1:18.476,\N,\N
5108,865,39,164,23,23,1:19.310,\N,\N
5109,866,20,9,1,1,1:14.661,1:14.187,1:13.784
5110,866,1,1,4,2,1:14.891,1:14.371,1:14.087
5111,866,4,6,5,3,1:14.916,1:14.314,1:14.151
5112,866,17,9,2,4,1:14.956,1:14.479,1:14.346
5113,866,3,131,8,5,1:15.098,1:14.568,1:14.411
5114,866,13,6,6,6,1:15.194,1:14.641,1:14.465
5115,866,154,208,10,7,1:15.163,1:14.627,1:14.645
5116,866,814,10,11,8,1:15.019,1:14.639,1:14.705
5117,866,30,131,7,9,1:14.892,1:14.480,1:14.812
5118,866,18,1,3,10,1:14.799,1:14.680,1:15.182
5119,866,155,15,14,11,1:15.101,1:14.688,\N
5120,866,8,208,9,12,1:14.995,1:14.734,\N
5121,866,807,10,12,13,1:15.106,1:14.748,\N
5122,866,817,5,16,14,1:15.552,1:15.078,\N
5123,866,815,15,15,15,1:15.326,1:15.156,\N
5124,866,811,3,19,16,1:14.995,1:15.170,\N
5125,866,813,3,18,17,1:14.979,1:15.231,\N
5126,866,5,207,20,18,1:16.263,\N,\N
5127,866,808,207,21,19,1:16.482,\N,\N
5128,866,818,5,17,20,1:16.602,\N,\N
5129,866,37,164,22,21,1:17.492,\N,\N
5130,866,10,206,24,22,1:17.901,\N,\N
5131,866,819,206,25,23,1:18.255,\N,\N
5132,866,39,164,23,24,1:18.330,\N,\N
5133,867,20,9,1,1,1:39.626,1:38.530,1:38.086
5134,867,1,1,4,2,1:39.169,1:38.616,1:38.410
5135,867,813,3,18,3,1:38.825,1:38.570,1:38.475
5136,867,154,208,10,4,1:39.530,1:38.489,1:38.505
5137,867,8,208,9,5,1:39.464,1:38.531,1:38.513
5138,867,3,131,8,6,1:39.061,1:38.504,1:38.623
5139,867,155,15,14,7,1:39.651,1:38.703,1:38.741
5140,867,807,10,12,8,1:39.009,1:38.689,1:38.752
5141,867,18,1,3,9,1:39.622,1:38.563,1:38.801
5142,867,814,10,11,10,1:38.858,1:38.519,1:38.992
5143,867,4,6,5,11,1:39.409,1:38.707,\N
5144,867,30,131,7,12,1:39.447,1:38.770,\N
5145,867,13,6,6,13,1:39.388,1:38.780,\N
5146,867,811,3,19,14,1:39.449,1:39.207,\N
5147,867,815,15,15,15,1:39.353,1:39.358,\N
5148,867,5,207,20,16,1:40.087,1:40.295,\N
5149,867,817,5,16,17,1:39.924,1:40.358,\N
5150,867,818,5,17,18,1:40.203,\N,\N
5151,867,17,9,2,19,1:40.395,\N,\N
5152,867,808,207,21,20,1:40.457,\N,\N
5153,867,37,164,22,21,1:42.171,\N,\N
5154,867,39,164,23,22,1:42.527,\N,\N
5155,867,819,206,25,23,1:42.675,\N,\N
5156,868,4,6,5,1,1:46.515,1:56.921,1:51.746
5157,868,17,9,2,2,1:47.276,1:55.898,1:51.793
5158,868,30,131,7,3,1:46.571,1:55.799,1:52.020
5159,868,20,9,1,4,1:46.279,1:56.931,1:52.199
5160,868,13,6,6,5,1:47.401,1:56.388,1:53.065
5161,868,8,208,9,6,1:47.309,1:56.469,1:53.290
5162,868,813,3,18,7,1:46.449,1:56.802,1:53.539
5163,868,1,1,4,8,1:47.433,1:54.897,1:53.543
5164,868,807,10,12,9,1:46.334,1:55.556,1:54.382
5165,868,154,208,10,10,1:47.043,1:56.388,\N
5166,868,814,10,11,11,1:47.582,1:57.009,\N
5167,868,155,15,14,12,1:46.649,1:57.071,\N
5168,868,3,131,8,13,1:47.724,1:57.108,\N
5169,868,817,5,16,14,1:47.266,1:57.132,\N
5170,868,811,3,19,15,1:47.105,1:57.426,\N
5171,868,818,5,17,16,1:47.705,1:57.719,\N
5172,868,815,15,15,17,1:46.494,1:57.895,\N
5173,868,18,1,3,18,1:48.044,\N,\N
5174,868,808,207,21,19,1:49.027,\N,\N
5175,868,5,207,20,20,1:49.477,\N,\N
5176,868,10,206,24,21,1:51.618,\N,\N
5177,868,37,164,22,22,1:52.742,\N,\N
5178,868,39,164,23,23,1:53.040,\N,\N
5179,868,819,206,25,24,1:54.143,\N,\N
5180,869,4,6,5,1,1:16.073,1:38.521,1:40.621
5181,869,20,9,1,2,1:16.393,1:38.309,1:41.026
5182,869,17,9,2,3,1:16.500,1:39.382,1:41.496
5183,869,30,131,7,4,1:16.686,1:38.010,1:42.459
5184,869,807,10,12,5,1:16.271,1:39.467,1:43.501
5185,869,813,3,18,6,1:16.181,1:38.731,1:43.950
5186,869,18,1,3,7,1:16.507,1:38.659,1:44.113
5187,869,1,1,4,8,1:16.221,1:37.365,1:44.186
5188,869,814,10,11,9,1:16.352,1:39.703,1:44.889
5189,869,8,208,9,10,1:15.693,1:39.729,1:45.811
5190,869,817,5,16,11,1:16.516,1:39.789,\N
5191,869,815,15,15,12,1:15.726,1:39.933,\N
5192,869,155,15,14,13,1:16.481,1:39.985,\N
5193,869,13,6,6,14,1:16.265,1:40.212,\N
5194,869,154,208,10,15,1:16.685,1:40.574,\N
5195,869,811,3,19,16,1:16.426,1:40.752,\N
5196,869,3,131,8,17,1:15.988,1:41.551,\N
5197,869,818,5,17,18,1:16.741,\N,\N
5198,869,5,207,20,19,1:17.620,\N,\N
5199,869,808,207,21,20,1:18.531,\N,\N
5200,869,819,206,25,21,1:19.220,\N,\N
5201,869,10,206,24,22,1:19.291,\N,\N
5202,869,37,164,22,23,1:19.912,\N,\N
5203,869,39,164,23,24,1:20.230,\N,\N
5204,870,1,1,4,1,1:21.794,1:21.060,1:20.953
5205,870,154,208,10,2,1:22.755,1:21.657,1:21.366
5206,870,20,9,1,3,1:22.948,1:21.407,1:21.416
5207,870,18,1,3,4,1:22.028,1:21.618,1:21.583
5208,870,8,208,9,5,1:22.234,1:21.583,1:21.730
5209,870,4,6,5,6,1:22.095,1:21.598,1:21.844
5210,870,13,6,6,7,1:22.203,1:21.534,1:21.900
5211,870,813,3,18,8,1:22.475,1:21.504,1:21.939
5212,870,811,3,19,9,1:22.271,1:21.697,1:22.343
5213,870,807,10,12,10,1:22.176,1:21.653,1:22.847
5214,870,17,9,2,11,1:22.829,1:21.715,\N
5215,870,814,10,11,12,1:21.912,1:21.813,\N
5216,870,3,131,8,13,1:22.079,1:21.895,\N
5217,870,815,15,15,14,1:22.110,1:21.895,\N
5218,870,155,15,14,15,1:22.801,1:22.300,\N
5219,870,818,5,17,16,1:22.799,1:22.380,\N
5220,870,30,131,7,17,1:22.436,1:22.723,\N
5221,870,817,5,16,18,1:23.250,\N,\N
5222,870,5,207,20,19,1:23.576,\N,\N
5223,870,808,207,21,20,1:24.167,\N,\N
5224,870,819,206,25,21,1:25.244,\N,\N
5225,870,10,206,24,22,1:25.476,\N,\N
5226,870,37,164,22,23,1:25.916,\N,\N
5227,870,39,164,23,24,1:26.178,\N,\N
5228,871,18,1,3,1,1:49.250,1:47.654,1:47.573
5229,871,155,15,14,2,1:49.686,1:48.569,1:47.871
5230,871,813,3,18,3,1:48.993,1:48.780,1:47.893
5231,871,8,208,9,4,1:49.546,1:48.414,1:48.205
5232,871,815,15,15,5,1:49.642,1:47.980,1:48.219
5233,871,4,6,5,6,1:49.401,1:48.598,1:48.313
5234,871,17,9,2,7,1:49.859,1:48.546,1:48.392
5235,871,1,1,4,8,1:49.605,1:48.563,1:48.394
5236,871,154,208,10,9,1:50.126,1:48.714,1:48.538
5237,871,814,10,11,10,1:50.033,1:48.729,1:48.890
5238,871,20,9,1,11,1:49.722,1:48.792,\N
5239,871,807,10,12,12,1:49.362,1:48.855,\N
5240,871,30,131,7,13,1:49.742,1:49.081,\N
5241,871,13,6,6,14,1:49.588,1:49.147,\N
5242,871,818,5,17,15,1:49.763,1:49.354,\N
5243,871,817,5,16,16,1:49.572,1:49.543,\N
5244,871,811,3,19,17,1:49.958,1:50.088,\N
5245,871,3,131,8,18,1:50.181,\N,\N
5246,871,5,207,20,19,1:51.739,\N,\N
5247,871,808,207,21,20,1:51.967,\N,\N
5248,871,10,206,24,21,1:52.336,\N,\N
5249,871,37,164,22,22,1:53.030,\N,\N
5250,871,819,206,25,23,1:53.493,\N,\N
5251,871,39,164,23,24,1:54.989,\N,\N
5252,872,1,1,4,1,1:24.211,1:24.394,1:24.010
5253,872,18,1,3,2,1:24.672,1:24.255,1:24.133
5254,872,13,6,6,3,1:24.882,1:24.505,1:24.247
5255,872,814,10,11,4,1:24.875,1:24.345,1:24.304
5256,872,30,131,7,5,1:25.302,1:24.675,1:24.540
5257,872,20,9,1,6,1:25.011,1:24.687,1:24.802
5258,872,3,131,8,7,1:24.689,1:24.515,1:24.833
5259,872,8,208,9,8,1:25.151,1:24.742,1:24.855
5260,872,155,15,14,9,1:25.317,1:24.683,1:25.109
5261,872,4,6,5,10,1:24.175,1:24.242,1:25.678
5262,872,17,9,2,11,1:25.556,1:24.809,\N
5263,872,813,3,18,12,1:25.103,1:24.820,\N
5264,872,815,15,15,13,1:25.300,1:24.901,\N
5265,872,811,3,19,14,1:25.135,1:25.042,\N
5266,872,817,5,16,15,1:25.728,1:25.312,\N
5267,872,816,208,10,16,1:25.834,1:25.408,\N
5268,872,818,5,17,17,1:25.649,1:25.441,\N
5269,872,5,207,20,18,1:26.382,\N,\N
5270,872,808,207,21,19,1:26.887,\N,\N
5271,872,10,206,24,20,1:27.039,\N,\N
5272,872,819,206,25,21,1:27.073,\N,\N
5273,872,39,164,23,22,1:27.441,\N,\N
5274,872,37,164,22,23,1:27.629,\N,\N
5275,873,1,1,4,1,1:48.285,1:46.665,1:46.362
5276,873,813,3,18,2,1:49.494,1:47.602,1:46.804
5277,873,20,9,1,3,1:48.240,1:46.791,1:46.905
5278,873,18,1,3,4,1:49.381,1:47.661,1:46.939
5279,873,4,6,5,5,1:49.391,1:47.567,1:47.216
5280,873,814,10,11,6,1:48.028,1:47.667,1:47.241
5281,873,17,9,2,7,1:48.717,1:47.513,1:47.475
5282,873,154,208,10,8,1:47.688,1:47.529,1:47.788
5283,873,30,131,7,9,1:49.546,1:47.823,\N
5284,873,3,131,8,10,1:49.463,1:47.943,\N
5285,873,807,10,12,11,1:49.547,1:47.975,\N
5286,873,8,208,9,12,1:48.169,1:48.261,\N
5287,873,13,6,6,13,1:49.767,1:48.344,\N
5288,873,815,15,15,14,1:49.055,1:48.505,\N
5289,873,817,5,16,15,1:49.023,1:48.774,\N
5290,873,818,5,17,16,1:49.564,1:48.849,\N
5291,873,811,3,19,17,1:49.809,\N,\N
5292,873,155,15,14,18,1:49.933,\N,\N
5293,873,808,207,21,19,1:50.846,\N,\N
5294,873,5,207,20,20,1:51.137,\N,\N
5295,873,10,206,24,21,1:51.370,\N,\N
5296,873,819,206,25,22,1:51.762,\N,\N
5297,873,39,164,23,23,1:52.372,\N,\N
5298,873,37,164,22,24,1:53.355,\N,\N
5299,874,20,9,1,1,1:32.608,1:31.501,1:30.839
5300,874,17,9,2,2,1:32.951,1:31.950,1:31.090
5301,874,18,1,3,3,1:33.077,1:31.772,1:31.290
5302,874,155,15,14,4,1:32.042,1:31.886,1:31.700
5303,874,154,208,10,5,1:32.029,1:31.988,1:31.898
5304,874,815,15,15,6,1:32.147,1:32.169,1:32.022
5305,874,4,6,5,7,1:32.459,1:31.833,1:32.114
5306,874,8,208,9,8,1:32.221,1:31.826,1:32.208
5307,874,1,1,4,9,1:33.061,1:32.121,1:32.327
5308,874,807,10,12,10,1:32.828,1:32.272,\N
5309,874,13,6,6,11,1:32.946,1:32.293,\N
5310,874,814,10,11,12,1:32.898,1:32.327,\N
5311,874,30,131,7,13,1:33.349,1:32.469,\N
5312,874,813,3,18,14,1:32.834,1:32.512,\N
5313,874,3,131,8,15,1:33.015,1:32.625,\N
5314,874,817,5,16,16,1:33.059,1:32.954,\N
5315,874,818,5,17,17,1:33.370,1:33.368,\N
5316,874,811,3,19,18,1:33.405,\N,\N
5317,874,5,207,20,19,1:34.657,\N,\N
5318,874,10,206,24,20,1:35.213,\N,\N
5319,874,37,164,22,21,1:35.385,\N,\N
5320,874,819,206,25,22,1:35.429,\N,\N
5321,874,808,207,21,23,1:35.432,\N,\N
5322,874,39,164,23,24,1:36.734,\N,\N
5323,875,17,9,2,1,1:38.397,1:38.220,1:37.242
5324,875,20,9,1,2,1:38.208,1:37.767,1:37.316
5325,875,1,1,4,3,1:39.180,1:38.000,1:37.469
5326,875,4,6,5,4,1:39.144,1:37.987,1:37.534
5327,875,8,208,9,5,1:38.887,1:38.227,1:37.625
5328,875,13,6,6,6,1:38.937,1:38.253,1:37.884
5329,875,154,208,10,7,1:38.863,1:38.275,1:37.934
5330,875,807,10,12,8,1:38.981,1:38.428,1:38.266
5331,875,3,131,8,9,1:38.999,1:38.417,1:38.361
5332,875,30,131,7,10,1:38.808,1:38.436,1:38.513
5333,875,18,1,3,11,1:38.615,1:38.441,\N
5334,875,815,15,15,12,1:38.630,1:38.460,\N
5335,875,155,15,14,13,1:38.719,1:38.594,\N
5336,875,814,10,11,14,1:38.942,1:38.643,\N
5337,875,813,3,18,15,1:39.024,1:38.725,\N
5338,875,817,5,16,16,1:38.784,1:39.084,\N
5339,875,818,5,17,17,1:38.744,1:39.340,\N
5340,875,811,3,19,18,1:39.443,\N,\N
5341,875,808,207,21,19,1:40.207,\N,\N
5342,875,5,207,20,20,1:40.333,\N,\N
5343,875,819,206,25,21,1:41.317,\N,\N
5344,875,10,206,24,22,1:41.371,\N,\N
5345,875,37,164,22,23,1:42.881,\N,\N
5346,876,20,9,1,1,1:26.387,1:25.435,1:25.283
5347,876,17,9,2,2,1:26.744,1:25.610,1:25.327
5348,876,1,1,4,3,1:26.516,1:25.816,1:25.544
5349,876,18,1,3,4,1:26.564,1:25.467,1:25.659
5350,876,4,6,5,5,1:26.829,1:25.834,1:25.773
5351,876,13,6,6,6,1:26.939,1:26.111,1:25.857
5352,876,8,208,9,7,1:26.740,1:26.101,1:26.236
5353,876,815,15,15,8,1:27.179,1:26.076,1:26.360
5354,876,813,3,18,9,1:26.048,1:25.983,1:26.713
5355,876,3,131,8,10,1:26.458,1:25.976,\N
5356,876,154,208,10,11,1:26.897,1:26.136,\N
